ID,歌曲名,艺术家,专辑,曲速,稳度,常度,欢乐,轻松,忧郁,狂躁,奔放,悲痛,柔和,备注,
1,Wrecking Ball,Miley Cyrus,Bangerz,60,40,50,0,0,70,50,100,80,0,0,0
2,Wind It Up,Gwen Stefani,The Sweet Escape,80,30,50,100,100,0,0,80,0,20,0,0
3,Who's Gonna Love You,The Pussycat Dolls,Doll Domination,70,30,40,0,20,30,0,90,0,50,0,0
4,Whine Up,Kat Deluna,Whine Up,70,40,40,20,30,0,10,70,0,0,0,0
5,Where D You Go,Fort Minor,The Rising Tied,50,40,40,20,80,20,0,0,0,100,0,0
6,When You Say Nothing At All,Ronan Keating,Don't Close Your Eyes,40,70,70,80,100,0,0,80,0,100,0,0
7,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,40,50,50,0,0,100,0,100,80,30,0,0
8,When I Grow Up,The Pussycat Dolls,Doll Domination,70,30,30,30,30,0,0,100,0,10,0,0
9,Whatever It Takes, Leona Lewis,Spirit,50,60,50,60,100,0,0,100,0,70,0,0
10,Whatcha Think About That,The Pussycat Dolls,Doll Domination,70,30,30,20,60,0,40,80,0,0,0,0
11,What I've Done,Linkin Park,Minutes To Midnight,50,40,40,20,60,20,0,100,20,0,0,0
12,What Dreams Are Made Of,Hilary Duff,平民天后,30,70,50,60,60,0,0,70,0,70,0,0
13,We Went As Far As We Felt Like Going,The Pussycat Dolls,I Don'T Need A Man,70,60,40,40,80,0,0,100,0,0,0,0
14,We Can't Stop,Miley Cyrus,Bangerz,60,50,50,80,70,0,0,100,0,0,0,0
15,Wake Up,倪安东,Wake Up,70,30,30,50,30,0,0,70,0,10,0,0
16,Wake me up,Avicii,,70,60,60,0,30,50,0,100,0,30,0,0
17,Wait A Minute,The Pussycat Dolls,Wait A Minute,70,20,10,30,0,0,20,80,0,0,0,0
18,Wagon wheel,Darius Rucker,,70,60,50,70,100,0,0,70,0,20,0,0
19,Valder Fields,Tamas Wells,A Plea En Vendredi,40,80,80,60,60,40,0,20,30,100,0,0
20,upside down,A-Teens,Teen Spirit,40,40,30,30,60,20,0,10,0,70,0,0
21,Unstoppable ,Rascal Flatts,Unstoppable,60,40,40,60,30,10,0,90,0,50,0,0
22,Unforgivable Sinner,Lene Marlin,Playing My Game,60,50,50,0,40,40,0,30,40,100,0,0
23,Try,P!nk,The Truth About Love,60,60,50,70,20,0,30,100,0,0,0,0
24,touch my body,Mariah Carey,E=Mc?,40,70,60,70,50,0,0,100,0,100,0,0
25,Too Little Too Late,Robin Thicke,Paula,70,50,50,0,0,70,30,80,40,0,0,0
26,Tommai mai rub sak tee,Lydia,,20,90,70,0,30,100,0,0,90,100,0,0
27,To Be With You,Westlife,Turnaround,70,80,80,80,80,0,0,90,0,20,0,0
28,To All The Girls,Aaron Carter,Most Requested Hits,70,40,40,40,50,0,0,80,0,30,0,0
29,Till I Collapse,Eminem,The Eminem Show,70,40,40,0,0,50,100,70,20,0,0,0
30,Thrift Shop,Macklemore & Ryan Lewis,The Heist (Deluxe Edition),80,40,10,30,40,0,30,100,10,0,0,0
31,The Way,Ariana Grande,Yours Truly,80,60,50,60,30,0,0,100,0,0,0,0
32,The Story,Norah Jones,My Blueberry Nights,30,50,50,20,100,20,0,50,0,90,0,0
33,The Saltwater Room,Owl City,Ocean eyes,50,40,40,50,80,0,0,80,0,100,0,0
34,The Rose,手_葵,,20,90,70,10,100,20,0,20,0,100,0,0
35,The Magic Key,群星,,50,60,60,60,80,0,0,40,0,40,0,0
36,The Game Of Love,Michelle Branch,,60,30,40,0,0,50,30,90,20,0,0,0
37,Tattoo,Jordin Sparks,Tattoo,60,50,50,0,5,20,0,100,30,0,0,0
38,Takin' Over The World,The Pussycat Dolls,Doll Domination,60,40,40,20,40,0,0,100,0,0,0,0
